label,content,synonym_aug
1,"why does god take peoples lives because they can't afford a doctor?   people do lose their lives or suffer because they can't afford docters. if i were religious, i would sure wonder why god favors the wealthy. sure seems like it. why does god give a few uncaring people lots of money and let the rest of us suffer. i can't even afford health care now and i have a bad tooth that is killing me.","wherefore does god take peoples lives because they can ' t afford a doctor? people serve lose their lives beaver state suffer because they can ' t afford docters. if 1 were religious, i would sure wonder wherefore god favors the wealthy. sure seems like it. wherefore does god give a few uncaring people bunch of money and let the rest of us suffer. i can ' t even afford health care now and i have a bad tooth that is killing me."
1,where did we get the magic word abracadabra?   the word abracadabra comes from the hebrew expression ‘i create as i speak.’ a variation of these words exist throughout the jewish scriptures.,where make we get the magic word abracadabra? the book abracadabra comes from the israelite expression ‘ i create as i speak. ’ a edition of these words exist throughout the jewish scriptures.
1,"do muslims have ""shotgun"" weddings?   i agree with thr rpg, but do they tie cans to the back of the camel?  with a big just married sign?","perform muslims birth "" shotgun "" weddings? i tally with thr rpg, just do they tie cans to the rachis of the camel? with a big barely tie sign?"
1,where can i find information about the church of christ's embassy as popular in nigeria?   i agree. the da vinci code is a good source.,where can i find entropy astir the church of good shepherd ' s embassy as pop in nigeria? i agree. the da vinci codification personify a good source.
1,what is kofi annan religion?   he is the prophet of un.,what is kofi annan religion? he be the prophet of united nations.
1,"quite honest answers please!? why are whites so interested in these b.e.t and minority awards? at one time they wern't even concidered serious enough to merit much attention! is this some kind of jealousy? ""how come they get that and not me..."" you seriously whites, what's up!? seriously?  ok, in society there are several groups of people, the bigots who just carry on the whole race hatred thing that dear old daddy instilled in them, believeing the same hateful words that they spout like a kid saying there abc's, then there are the honestly ok people who actually dont care who your great great great great great great grandma was and what colour you are- they dont have to be nice people, but hey if they hate you its because of who you are, not wether you successfully colour coordinate with the rest of their friends. then there are the ""try to hards""- you may have met them, the ones who say things like ""racist? how insulting, tarquil here once shook hands with an indian fellow"" and send a yearly donation to amnest international (tax deductable). the point is that a lot of the people in charge of things like network programming are in the first or the last catagories and will promote urban music and film as a) its popular to be multi cultural and b) they want to look good. this is actually quite insulting when you think about it, but on the plus side it means that at least more and more young people will gain their own exposure to different cultures and maybe, god forbid, form there own views and actually drop all the self perpetuating crap that has been carried around for too damn long.  might be nice...","quite honest answers please! ? why are whites so interested in these b. e. t and minority awards? at one clock time they wern ' t even concidered serious enough to merit much attention! is this some kind of jealousy? "" how come they get that and not pine tree state. .. "" you seriously whites, what ' s up! ? seriously? ok, in society there are several groups of people, the bigots who just carry on the whole race hatred thing that dear old daddy instilled in them, believeing the same hateful words that they spout like a kid saying there abc ' s, so there are the honestly ok multitude who actually dont care world health organization your great great great great great capital grandma was and what colour you are - they dont have to be nice hoi polloi, but hey if they hate you its because of who you are, not wether you successfully colour coordinate with the rest of their friends. then there are the "" try to hards "" - you may have met them, the ones who say things like "" racist? how insulting, tarquil here once shook hands with an indian fellow "" and send a yearly donation to amnest external (tax deductable ). the point is that a lot of the people in charge of things like network programming are in the first or the last catagories and will promote urban music and film as a) its popular to be multi cultural and b) they want to look good. this is actually quite insulting when you think about it, but on the plus side it means that at least more and more young people will gain their own exposure to different cultures and maybe, god forbid, form there ain views and actually drop all the self perpetuating crap that has been carried around for too damn long. might be nice. .."
1,"what do i do if class books have my religion messed up?most of theworld already thinks my faith as primitive.? i know there is not a real solution but how can i try to explain that it is all messed up?nobody knows hinduism more then hindu and perhaps a lot of the world considers the hindu faith the most primitive on earth (the pakistani people sot of helped spread he message about hinduism being an awful and stuiped faith and now my text books)!!                                                                                                                                              what do you think of when you hear the word hindu?a cow!its getting quite ridiculous that most people think that if you are hindu you worship a cow.i most certainly do not. well i am in 8th grade right now but in 7th grade during my free time i looked in my history text book and it said a lot of things about hinduism that is not true.generally we do not explain our faith at all because we believe there is no need to convert someone to hinduism (well in the 60,s we did explain our faith but it remains forgotten) because we believe that all faiths are the path to realization if worshipped sincerely.the text books say things like us believing that a cow is god  and that we believe that rats are god as well.honestly if you see jesus holding a lamb on a picture can you say that christians  believe that a lamb is god as well absolutely not and it’s the same thing that’s being  misinterpreted with us and of course probably most kids in my school believe that i worship animals.what is hinduism?hinduism is a religion which is 10,000 years old (the oldest on earth).we follow ancient texts such as the vedas, upanishads, puranas and the   bhagavat gita.all talk about ideal society and the duty we have as humans and our meaning in existence.not one thing in any of the texts condemn another religion.hinduism is a monotheistic religion because we believe in one and only one god is, in the highest sense, one: beyond form, infinite, and eternal. god is changeless and is the very source of consciousness. god is beyond time, space, and causation and yet permeates everything and every being. god is beyond gender. when god is thought of as this infinite principle, god is called brahman in the sanskrit lanuage. brahman is the absolute reality: it is pure existence and knowledge. brahman does not exist; it is existence itself. it is not all-knowing; it is knowledge itself.brahman simply means the source of everything not such a thing as only a god for hindu’s.brahman means god and obviosly that includes all religions whom worship a god.why is it that we are considered to worship a million gods?i will give another example using christianity.christ was sent to earth to free us from all sins according to christianity (which us hindu’s ofcourse believe since he came to our land as well).god was still in heaven and christ is considred to be the son of god or gods expansion but does that mean that in christianity there are 2 gods.absolutely not.similarly in hinduism the dozens of  personalities which many people think we worship as a separate god is the same one.like christ whom came to the earth in a time when man needed aid all the so called “gods” we are accused of worshipping multiple gods even if they by us are considered incarnations.whats with the cow and hiduism?well they simply are not eaten because they are considered to have been a great use to man and to earth and since they fertalize our lands so we can grow food they are given just a high status of not being eaten that’s it.hindu’s become vegetarians because they believe that flesh is unpure and unclean.although they generally are not biased against people who eat meat.the tons of scriptures and stuff take a long time to explain because they have over a hundred thousand pages all together.they talk about various times god had come to earth and talk about lessons man should learn.christianity is considered a great religion because of its evidence in the biba and exact location of where everything h i'm sure that the textbook you are using is faulty,especialy if they haven't discussed the many and varied tenents of your faith.it is your duty to attempt to correct this.find some better books at your library, share them with your teachers,use every other opportunity  to write about your faith in class assignments(let me assure you that devout christian students do this all the time, they call it witnessing)stand up for your beliefs,it's your duty as a citizen.","what do i do if class books have my religion messed up? most of theworld already thinks my faith as primitive. ? i know there is not a real solvent but how can i try to explain that it be all messed up? nobody knows hinduism more then hindu and perhaps a lot of the world considers the hindu faith the most primitive on earth (the pakistani people sot of helped spread he message about hinduism being an awful and stuiped faith and now my text books )! ! what do you think of when you hear the word hindu? a cow! its getting quite ridiculous that most people think that if you are hindu you worship a cow. i most certainly do not. well i am in 8th grade right at once but in 7th grade during my free time i looked in my history text record book and it said a lot of things about hinduism that is not true. generally we do not explain our faith at all because we believe there is no need to convert someone to hinduism (well in the 60, s we did explain our faith but it remains forgotten) because we believe that all faiths are the path to realization if worshipped sincerely. the text books say things like us believing that a cow is god and that we believe that rats are god as well. honestly if you see jesus holding a lamb on a picture can you say that christians believe that a lamb is god as well absolutely not and it ’ s the same thing that ’ s being misinterpreted with us and of course probably most kids in my school believe that i worship animals. what is hinduism? hinduism is a religion which is 10, 000 years old (the oldest on earth ). we follow ancient texts such as the vedas, upanishads, puranas and the bhagavat gita. all talk about ideal society and the duty we have as humans and our meaning in existence. not one thing in any of the texts condemn another religion. hinduism is a monotheistic religion because we believe in one and only one god is, in the highest sense, one: beyond form, infinite, and eternal. god is changeless and is the very source of consciousness. god is beyond time, space, and causation and yet permeates everything and every being. god is beyond gender. when god is thought of as this unnumberable principle, god is called brahman in the sanskrit lanuage. brahman is the absolute reality: it is pure existence and knowledge. brahman does not exist; it is existence itself. it is not all - knowing; it is knowledge itself. brahman simply means the source of everything not such a thing as only a god for hindu ’ s. brahman means god and obviosly that includes all religions whom worship a god. why is it that we are considered to worship a million gods? i will give another example using christianity. christ was sent to earth to free us from all sins according to christianity (which us hindu ’ s ofcourse believe since he came to our land as well ). god was still in heaven and christ is considred to be the son of god or gods expansion but does that mean that in christianity there are 2 gods. absolutely not. similarly in hinduism the dozens of personalities which many people think we worship as a separate god is the same one. like christ whom came to the earth in a time when man needed aid all the so called “ gods ” we are accused of worshipping multiple gods even if they by us are considered incarnations. whats with the cow and hiduism? well they simply are not eaten because they are considered to have been a great use to man and to earth and since they fertalize our lands so we can grow food they are given just a high status of not being eaten that ’ s it. hindu ’ s become vegetarians because they believe that flesh is unpure and unclean. although they generally are not biased against people who eat meat. the tons of scriptures and stuff take a long time to explain because they have over a hundred thousand pages all together. they talk about various times god had come to earth and talk about lessons man should learn. christianity is considered a great religion because of its evidence in the biba and exact location of where everything h i ' m sure that the textbook you are using is faulty, especialy if they haven ' t discussed the many and varied tenents of your faith. it is your duty to attempt to correct this. find some better books at your library, share them with your teachers, use every other opportunity to write about your faith in class assignments (let me assure you that devout christian students do this all the time, they call it witnessing) stand up for your beliefs, it ' s your duty as a citizen."
1,"why can't you convert to hinduism? i know you must be born in to hinduism, so why don't they allow conversion? hey, im an hindu bcz im from india & i do follow it & i know it better than u all who have only learned it,its our culture to pray the god in so many different forms,so those who are saying it false or critising it,i think they are the biggest idiots.u dont have the right to criticise any religion.      i know u can only read about it in books,u cant feel it until u dont follow hinduism.and remember that books do lie,u cant get better view by just learning about it.      i m a hindu & i know that my religion is best in world & i respect my culture,country & religion heartly.so those who dont understand my religion just shut ur mouth.       and now i wanna answer ur question.i think u have got wrong information from somewhere because every person is allowed to make conversion in our religion but u have to follow rules of it.u can join any religion,there is no boundation for it.boundation is in muslism not in hinduism.the person who follows hinduism are best in this world,they are truthful,cultured,honest,trustworthy & filled with lot of good qualities.!! and u can easily join hinduism just by learning some rules & i can bet that u will find this religion best than others & u will enjoy it.and one thing more that hinduism is not complex,the only people who dont understand it says that its complex but believe in me im saying that its not complex at all.        so u people dont make any comments on my religion without knowing it.ok.thank u.","why can ' t you convert to hinduism? i know you must be born in to hinduism, so why don ' t they allow conversion? hey, im an hindu bcz im from india & i do come after it & i know it better than u all who have only learned it, its our civilization to pray the god in so many different forms, so those who are saying it false or critising it, i think they are the biggest idiots. u dont have the right to criticise any religion. i know u can only read about it in books, u cant feel it until u dont follow hinduism. and remember that books do lie, u cant get better view by only learning about it. i m a hindu & i know that my religion is best in world & i respect my culture, country & religion heartly. so those who dont understand my religion just shut ur mouth. and now i wanna answer ur question. i think u have got wrong information from somewhere because every person is allowed to make conversion in our religion but u have to follow rules of it. u can join any religion, there is no boundation for it. boundation is in muslism not in hinduism. the person who follows hinduism are best in this world, they are truthful, cultured, honest, trustworthy & filled with lot of good qualities. !! and u can easily join hinduism just by learning some rules & i can bet that u will find this religion best than others & u will enjoy it. and one thing more that hinduism is not complex, the only people who dont translate it says that its complex but believe in me im saying that its not complex at all. so u people dont make any comments on my religion without knowing it. ok. thank u."
1,what does dreaming of confronting your love mean? i dreamed that i went up to like my crush and trys to tell her that i like her and want to start a relationship or something.and she was okay with it and we was late for class so we have to go...what does it mean? i agree with the first response - also dreams can have reverse meanings as in you don't really want to confront her because in your heart you already know the answer.,what does dreaming of confronting your love mean? i dreamed that one went up to like my crush and trys to tell her that iodin like her and desire to start a relationship or something. and she was okay with information technology and we was late for class so we have to lead. .. what does it mean? 1 agree with the first response - also dreams can have reverse meanings as in you don ' t really want to confront her because in your heart you already know the response.
1,which last name suits best with first name sabina? any other suggestions? mortensen berbatova illonen kluivert bliznakova raikkonen hartnet moreyra braycheva florova safina alexanderson braycheva law zamorano indzaghi van tareh fon lot are these the last names of all the guys u like? jk i think that indzaghi is the best,which last place name suits best with first name sabina? any other suggestions? mortensen berbatova illonen kluivert bliznakova raikkonen hartnet moreyra braycheva florova safina alexanderson braycheva law zamorano indzaghi van tareh fon lot are these the lowest names of all the guy wire u comparable? jk i think that indzaghi is the best
2,usually not considered a diatomic molecule?   not sure what you mean. but here is two possible answers for you anyways.  1) oxygen which can also exist as ozone (o3) which is a triatomic molecule. 2) or like idunno pointed out astatine which is usually not considered because of its rarity in nature.,usually not considered a diatomic molecule? non sure what you mean. but here is two possible answers for you anyways. ace) oxygen which rear end also exist as ozone (o3) which is a triatomic molecule. 2) or like idunno pointed out astatine which personify usually non considered because of its rarity in nature.
2,"what is the difference from a particle as in an a electron vs matter as in a molecule? seems the parts of the atom are more like charges of energy so is matter just the force of energy - some what of a force field that we comprehend as matter? a proton, neutron, and electron is what makes up an atom.  a molecule however is defined as two or more atoms linked by chemical bonds which are linked atom.  covalent bonds consist of shared pairs of electrons electronegativity: unequal sharing of electrons...u can find more info on askjeeves.com","what is the difference from a particle as in an a electron v matter as in a molecule? seems the portion of the atom embody more like charges of energy so make up matter exactly the force of energy - some what of a force field that we comprehend as matter? a proton, neutron, and electron is what makes up an atom. a molecule however is determine as 2 or more atoms linked by chemical bonds which are linked atom. covalent bonds consist of shared pairs of electrons electronegativity: unequal sharing of electrons. .. u can find more than info on askjeeves. com"
2,find the difference (14x2 + 3x + 11) - (10x2 + 5).?   if the x2 mean x squared?  4x^2 + 3x + 6,retrieve the difference (14x2 + 3x + 11) - (10x2 + 5 ). ? if the x2 mean value tenner squared? 4x ^ ii + 3x + sestet
2,"what were the timings of the solar eclipse of 29th march 2006?   greetings,  on the greek island of kastellorizo just off the turkish coast totality lasted 3 minutes.  for a great article regarding the eclipse, including video clips from nasa and the discovery channel check out this link to sky and telescope: http://skyandtelescope.com/observing/objects/eclipses/article_1706_1.asp  -matt","what were the timings of the solar eclipse of 29th march 2006? salutation, on the hellenic island of kastellorizo just off the turkish sea coast total lasted 3 minutes. for a great article regarding the eclipse, including video clips from nasa and the discovery channel check out this link to sky and telescope: hypertext transfer protocol: / / skyandtelescope. com / observing / objects / eclipses / article_1706_1. naja haje - lusterlessness"
2,i want to know what is intergrated science? my lecturer want me to do presentation about integrated science but i can't find the history about it. integrated science is nothing but  studying each and everything with a reason why and how does something happen wether it is about earth or weather or physics or chemistry or biology or anything else which has a reason and measure for exixtence comes under teh integrated science studies,i want to know what is intergrated scientific discipline? my lecturer want me to do presentation about integrated science but i can ' t find the history astir it. integrated scientific discipline is nil but studying each and everything with a reason wherefore and how does something pass off wether it is about earth or weather or physics or chemistry or biology or anything else which has a reason and measure for exixtence comes under teh integrated science studies
2,"how many moons does mars have?   mars has two moons, phobos and deimos","how many moons make mar make? mars has two moons, phobos and deimos"
2,"which is indian peninsular longest river?   if you consider the whole of india it is river ganga if you also consider the length of a river outside of india it is brahmaputra in peninsular india it is godavari with a length of 1,450 km. (mahanadi has a length of about 850 km, kaveri a length of 750 km and krishna has alength of about 1300 km)","which is indian peninsular longest river? if you consider the whole of india it is river ganga if you also consider the length of a river outside of india it is brahmaputra in peninsular india information technology is godavari with a length of 1, 450 km. (mahanadi has a length of about 850 km, kaveri a length of 750 km and krishna has alength of about 1300 km )"
2,why bike is stable when riding but unstable when standing?   during motion the wheel turns into a gyroscope. a body when rotating about an axis certain energy is associated with it. when you u try to change this axis of rotation energy is required for it. so when a bike is in motion the wheels act as gyroscopes n the tru to resist any change in this orientation(vertical). so it does not fall.    this fact can further b established as when u make a turn the bike inclines along the turn. this is bcoz while turning we are changing the axis of rotation of wheels. the energy required for this purpose is drawn by bending the bike,why wheel is stable when riding but unstable when standing? during motion the wheel turns into a gyroscope. a dead body when rotating about an axis sealed energy is associated with it. when you u try to change this axis of rotation energy exist required for it. so when a bike is in motion the wheels routine as gyroscopes n the tru to resist any change in this orientation (vertical ). so it does not fall. this fact can further b established as when u make a play the bike inclines along the turn. this is bcoz while turning we are changing the axis of rotation of wheels. the energy required for this purpose be drawn by bending the bike
2,which building has the greatest number of basement levels in the world? p.s. there was no yahoo category for architecture. the empire state building,which edifice has the greatest number of cellar levels in the world? p. entropy. there was no yahoo class for computer architecture. the empire state construction
2,what is the difference between carnivore and herbivore?  (looking for best answer)?   carinovires are animals that eat other animals as their source of food and nourisment.  herbivores are animals that consume plants and plant materials only as their primary source of food and nourishment.,what is the difference between carnivore and herbivore? (looking for best answer )? carinovires are animals that eat other animals as their seed of food and nourisment. herbivore are fauna that consume plants and plant materials only if as their primary source of food and aliment.
2,what is the best way to describe how an aeroplane can fly?   everything you want to know....  http://www.howstuffworks.com/airplane.htm,what follow the good style to describe how an plane fundament fell? everything you want to know. .. . hypertext transfer protocol: / / world wide web. howstuffworks. com / airplane. htm
2,"what is lorenz factor?   1/(1-v^2/c^2)  this effect causes time dialation, mass expansion, and length contraction.  it is negligible unless the velocity(v) is very very close to the speed of light(c) just try plugging in numbers for v, there wont be any noticeable affect until very very high velocities. the lorentz factor is part of einstein's theory of relativity.","what is lorenz factor? 1 / (1 - v ^ 2 / c ^ 2) this effect causes time dialation, mass expansion, and length compression. information technology be trifling unless the velocity (v) is very very nigh to the speed of light (c) just try plugging in numbers for v, there wont be any noticeable affect until very very high velocity. the lorentz cistron is part of einstein ' s theory of relativity."
2,"evaluate limit x-> infinity (2^(x^2) - cos ^2 (x))/ x^2? can any one please gimme the procedure to solve this. cos ^2 (x) is always inferior to 1 so if x goes to  infinity, n=x²  we have 2^n/n it can be written also e^x^ln(2)/x as e^x/x tends to infinity when x goes to infinity so it is infinity","evaluate limit x -> infinity (2 ^ (x ^ 2) - cos ^ two (x) ) / x ^ two? can any one please gimme the procedure to solve this. cos ^ two (x) is always subscript to 1 so if x goes to infinity, n = x² we have 2 ^ n / n it can be write also e ^ x ^ ln (2) / x as e ^ x / x tends to infinity when x goes to infinity so it is infinity"
2,"what country do i live in? is it england, great britain or united kingdom? whenever i fill out questionnaires i never know what i should put under the question what country do you live in?, some times i have to select from a selection and normally uk is in the list, sometimes it is gb and occasionally it is england but more often the box is left blank and i have to decide for myself what i should put, is there some sort of rule that i should follow when deciding? or does it not matter? am i the only one who is confused by this?? sometimes i feel like answering it with i don't know because i am really confused by this. united kingdom of great britain and northern ireland","what country do i live in? is it england, great britain or united realm? whenever i fill out questionnaires i never know what i should put under the question what country do you live in? , some times i have to select from a selection and usually uk is in the list, sometimes it is gb and occasionally information technology is england but more often the box is left blank and i hold to decide for myself what i should put, is there some sort of rule that i should follow when decide? or does it non matter? am i the only one who is obnubilate by this? ? sometimes i feel like answering it with i don ' t know because iodine am really confused by this. united kingdom of great britain and northerly ireland"
2,centre of presure? a water tank has a rectangle base of dimension 3m x 2m and vertical sides. when the water level in the tank is 2m above the base caculate. magnitude and location of the force on the base magnitude and location of the force on the largest side density x height = pressure on base  pressure at bottom of largest side is the same as the pressure on the base.  pressure at the top of the water level ( 2 meters) is zero.  the pressure varies linearly from zero to the base pressure over a height of 2 meters.  which gives you a right triangle 2 meters tall by base pressure wide.  the center of mass of  a right triangle is 1/3 the height or 2/3 meter.    force = pressure x area  should be able to work it from there.,centre of presure? a water tank has a rectangle base of dimension 3m x 2m and vertical sides. when the water level in the tank is 2m above the base caculate. magnitude and location of the force on the basis magnitude and location of the force on the largest side density x height = pressure on base pressure at bottom of largest side is the same as the pressure on the base. pressure at the top of the weewee stage (2 meters) is zero. the pressure varies linearly from zero to the base pressure over a height of 2 meters. which gives you a right triangle two meters tall by base pressure wide. the center of mass of a right triangle is single / 3 the height or 2 / 3 meter. power = pressure x area should equal able to work it from there.
2,"why are gems and ores different?   a gem is a pure or near pure crystalline form above a certain size useds for decoration or jewelry, where the ore is a mixture of many minerals, crystalline or not, where none of the forms are large enough to be a gem.  the word gem is a subjective term.","why constitute gem and ores different? a gem is a pure or near pure crystalline form above a certain sizing useds for decoration beaver state jewellery, where the ore is a concoction of many minerals, crystalline or not, where none of the forms are large enough to represent a gem. the bible gem is a subjective terminus."
2,"this has to do with evolution: what is the definition of a fact in science?   i suspect that you will find your answer here...  talkorigins essay ""evolution is a fact and a theory""  ""well evolution is a theory. it is also a fact. and facts and theories are different things, not rungs in a hierarchy of increasing certainty. facts are the world's data. theories are structures of ideas that explain and interpret facts. facts don't go away when scientists debate rival theories to explain them.""  ""moreover, ""fact"" doesn't mean ""absolute certainty""; there ain't no such animal in an exciting and complex world. the final proofs of logic and mathematics flow deductively from stated premises and achieve certainty only because they are not about the empirical world. evolutionists make no claim for perpetual truth, though creationists often do (and then attack us falsely for a style of argument that they themselves favor). in science ""fact"" can only mean ""confirmed to such a degree that it would be perverse to withhold provisional consent.""""","this has to do with evolution: what is the definition of a fact in science? i suspect that you bequeath find your solvent here. .. talkorigins essay "" evolution is a fact and a theory "" "" well evolution is a theory. it is also a fact. and facts and possibility are different things, not rungs in a hierarchy of increasing certainty. facts are the world ' s data. theories are structures of ideas that explain and interpret facts. facts don ' t go off when scientists debate rival theories to explain them. "" "" moreover, "" fact "" doesn ' t mean "" absolute certainty ""; there ain ' t no such animal in an exciting and complex world. the final proofs of logic and mathematics flow deductively from stated premises and achieve certainty only because they are not about the empirical world. evolutionists make no claim for perpetual truth, though creationists often do (and then attack us falsely for a style of argumentation that they themselves favor ). in science "" fact "" can only mean "" confirmed to such a degree that it would be perverse to withhold provisional consent. "" """
2,"experiments to find out if olive oil,soya oil or coconut oil are saturated?   the traditional method of measuring unsaturation is to measure the reaction between the substance and a solution of molecular bromine.  the br2 adds across double bonds that are present and you can measure the change in color of the bromine solution.    a less toxic (but more explosive) alternative is to hydrogenate the substance with a known quantity of hydrogen gas and measure the change of pressure, volume, or mass to determine how much hydrogen has been incorporated.","experiments to find out if olive oil, soya oil or coconut oil are saturated? the traditional method of measuring unsaturation is to measure the reaction between the content and a solution of molecular bromine. the br2 adds across double bonds that are present and you can measure the change in colour of the bromine solution. a less toxic (but to a greater extent explosive) option is to hydrogenate the substance with a known amount of hydrogen gas and measure the change of pressure, volume, or mass to determine how much hydrogen has been incorporated."
2,"the plane 27 + 4z = 5 meets the cone z^2 = 4(x^2 + y^2) in a curve.? the plane 27 + 4z = 5 meets the cone z^2 = 4(x^2 + y^2) in a curve. use the method of lagrange multipliers to find the point on this curve nearest the origin. don't know why you need lagrange multipliers for something this simple.  plane equation simplifies to z = -11/2, which is a plane perpendicular to the z-axis, intercept at z= -11/2.    as for the cone, pick any value of z, say 2.  then 2² = 4(x² + y²), so x² + y² = 1, and that's a unit circle where every point on it has a z-coordinate of 2, which means the plane of the circle is also perpendicular to the z-axis.  so the cone has the z-axis as its axis, and the curve of intersection is a circle, radius = sqrt(11/2), centered on the z-axis, parallel to the xy plane, 11/2 units below the xy plane, and every point on it is the same distance from the origin.  let that distance be d.  then d² = 11/2 + (11/2)² = 22/4 + 121/4 = 143/4.  so d = sqrt(143)/2, and since sqrt(143) is just a hair less than 12, d is just a hair less than 6.","the plane 27 + 4z = 5 meets the cone z ^ 2 = 4 (x ^ 2 + y ^ 2) in a curve. ? the plane 27 + 4z = 5 meets the cone z ^ 2 = 4 (x ^ 2 + y ^ 2) in a curve. use the method of lagrange multipliers to find the point on this curve nearest the origin. don ' t know why you need lagrange multipliers for something this simple. plane equation simplifies to z = - 11 / 2, which is a plane perpendicular to the izzard - axis, intercept at z = - 11 / ii. as for the cone, pick any value of z, say 2. then 2² = 4 (x² + y² ), so x² + y² = 1, and that ' s a unit circle where every point on it has a z - coordinate of 2, which means the plane of the circle is also perpendicular to the z - axis. so the cone shape has the z - axis as its axis, and the breaking ball of intersection is a circle, radius = sqrt (11 / 2 ), centered on the z - axis, line of latitude to the xy plane, 11 / 2 units below the xy plane, and every point on it is the same distance from the origin. let that distance be d. then d² = 11 / 2 + (11 / 2) ² = 22 / 4 + 121 / 4 = 143 / 4. so d = sqrt (143) / 2, and since sqrt (143) is just a hair less than 12, d is just a hair less than 6."
